Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HomeGoals,AwayGoals,result,winner
20:00,Burnley,Man City,0,3,A,0,2,A,C Pawson,0,5,-5,Man City
12:30,Arsenal,Nott'm Forest,2,1,H,2,0,H,M Oliver,4,1,3,Arsenal
15:00,Bournemouth,West Ham,1,1,D,0,0,D,P Bankes,1,1,0,draw
15:00,Brighton,Luton,4,1,H,1,0,H,D Coote,5,1,4,Brighton
15:00,Everton,Fulham,0,1,A,0,0,D,S Attwell,0,1,-1,Fulham
15:00,Sheffield United,Crystal Palace,0,1,A,0,0,D,J Brooks,0,1,-1,Crystal Palace
17:30,Newcastle,Aston Villa,5,1,H,2,1,H,A Madley,7,2,5,Newcastle
14:00,Brentford,Tottenham,2,2,D,2,2,D,R Jones,4,4,0,draw
16:30,Chelsea,Liverpool,1,1,D,1,1,D,A Taylor,2,2,0,draw
20:00,Man United,Wolves,1,0,H,0,0,D,S Hooper,1,0,1,Man United
19:45,Nott'm Forest,Sheffield United,2,1,H,1,0,H,P Bankes,3,1,2,Nott'm Forest
15:00,Fulham,Brentford,0,3,A,0,1,A,D Bond,0,4,-4,Brentford
15:00,Liverpool,Bournemouth,3,1,H,2,1,H,T Bramall,5,2,3,Liverpool
15:00,Wolves,Brighton,1,4,A,0,1,A,A Madley,1,5,-4,Brighton
17:30,Tottenham,Man United,2,0,H,0,0,D,M Oliver,2,0,2,Tottenham
20:00,Man City,Newcastle,1,0,H,1,0,H,R Jones,2,0,2,Man City
14:00,Aston Villa,Everton,4,0,H,2,0,H,A Taylor,6,0,6,Aston Villa
16:30,West Ham,Chelsea,3,1,H,1,1,D,J Brooks,4,2,2,West Ham
20:00,Crystal Palace,Arsenal,0,1,A,0,0,D,D Coote,0,1,-1,Arsenal
20:00,Chelsea,Luton,3,0,H,1,0,H,R Jones,4,0,4,Chelsea
12:30,Bournemouth,Tottenham,0,2,A,0,1,A,T Robinson,0,3,-3,Tottenham
15:00,Arsenal,Fulham,2,2,D,0,1,A,P Tierney,2,3,-1,Fulham
15:00,Brentford,Crystal Palace,1,1,D,1,0,H,P Bankes,2,1,1,Brentford
15:00,Everton,Wolves,0,1,A,0,0,D,C Pawson,0,1,-1,Wolves
15:00,Man United,Nott'm Forest,3,2,H,1,2,A,S Attwell,4,4,0,draw
17:30,Brighton,West Ham,1,3,A,0,1,A,A Taylor,1,4,-3,West Ham
14:00,Burnley,Aston Villa,1,3,A,0,2,A,M Salisbury,1,5,-4,Aston Villa
14:00,Sheffield United,Man City,1,2,A,0,0,D,J Gillett,1,2,-1,Man City
16:30,Newcastle,Liverpool,1,2,A,1,0,H,J Brooks,2,2,0,draw
20:00,Luton,West Ham,1,2,A,0,1,A,P Tierney,1,3,-2,West Ham
12:30,Sheffield United,Everton,2,2,D,2,1,H,A Madley,4,3,1,Sheffield United
15:00,Brentford,Bournemouth,2,2,D,1,1,D,R Madley,3,3,0,draw
15:00,Burnley,Tottenham,2,5,A,1,2,A,D England,3,7,-4,Tottenham
15:00,Chelsea,Nott'm Forest,0,1,A,0,0,D,T Robinson,0,1,-1,Nott'm Forest
15:00,Man City,Fulham,5,1,H,2,1,H,M Oliver,7,2,5,Man City
17:30,Brighton,Newcastle,3,1,H,1,0,H,S Attwell,4,1,3,Brighton
14:00,Crystal Palace,Wolves,3,2,H,0,0,D,R Jones,3,2,1,Crystal Palace
14:00,Liverpool,Aston Villa,3,0,H,2,0,H,S Hooper,5,0,5,Liverpool
16:30,Arsenal,Man United,3,1,H,1,1,D,A Taylor,4,2,2,Arsenal
12:30,Wolves,Liverpool,1,3,A,1,0,H,M Oliver,2,3,-1,Liverpool
15:00,Aston Villa,Crystal Palace,3,1,H,0,0,D,D England,3,1,2,Aston Villa
15:00,Fulham,Luton,1,0,H,0,0,D,M Salisbury,1,0,1,Fulham
15:00,Man United,Brighton,1,3,A,0,1,A,J Gillett,1,4,-3,Brighton
15:00,Tottenham,Sheffield United,2,1,H,0,0,D,P Bankes,2,1,1,Tottenham
15:00,West Ham,Man City,1,3,A,1,0,H,A Madley,2,3,-1,Man City
17:30,Newcastle,Brentford,1,0,H,0,0,D,C Pawson,1,0,1,Newcastle
14:00,Bournemouth,Chelsea,0,0,D,0,0,D,D Coote,0,0,0,draw
16:30,Everton,Arsenal,0,1,A,0,0,D,S Hooper,0,1,-1,Arsenal
19:45,Nott'm Forest,Burnley,1,1,D,0,1,A,R Jones,1,2,-1,Burnley
15:00,Crystal Palace,Fulham,0,0,D,0,0,D,P Tierney,0,0,0,draw
15:00,Luton,Wolves,1,1,D,0,0,D,J Smith,1,1,0,draw
15:00,Man City,Nott'm Forest,2,0,H,2,0,H,A Taylor,4,0,4,Man City
17:30,Brentford,Everton,1,3,A,1,1,D,M Oliver,2,4,-2,Everton
20:00,Burnley,Man United,0,1,A,0,1,A,T Harrington,0,2,-2,Man United
14:00,Arsenal,Tottenham,2,2,D,1,1,D,R Jones,3,3,0,draw
14:00,Brighton,Bournemouth,3,1,H,1,1,D,J Brooks,4,2,2,Brighton
14:00,Chelsea,Aston Villa,0,1,A,0,0,D,J Gillett,0,1,-1,Aston Villa
14:00,Liverpool,West Ham,3,1,H,1,1,D,C Kavanagh,4,2,2,Liverpool
16:30,Sheffield United,Newcastle,0,8,A,0,3,A,S Attwell,0,11,-11,Newcastle
12:30,Aston Villa,Brighton,6,1,H,3,0,H,A Madley,9,1,8,Aston Villa
15:00,Bournemouth,Arsenal,0,4,A,0,2,A,M Salisbury,0,6,-6,Arsenal
15:00,Everton,Luton,1,2,A,1,2,A,A Taylor,2,4,-2,Luton
15:00,Man United,Crystal Palace,0,1,A,0,1,A,C Kavanagh,0,2,-2,Crystal Palace
15:00,Newcastle,Burnley,2,0,H,1,0,H,T Bramall,3,0,3,Newcastle
15:00,West Ham,Sheffield United,2,0,H,2,0,H,G Scott,4,0,4,West Ham
15:00,Wolves,Man City,2,1,H,1,0,H,C Pawson,3,1,2,Wolves
17:30,Tottenham,Liverpool,2,1,H,1,1,D,S Hooper,3,2,1,Tottenham
14:00,Nott'm Forest,Brentford,1,1,D,0,0,D,P Tierney,1,1,0,draw
20:00,Fulham,Chelsea,0,2,A,0,2,A,T Robinson,0,4,-4,Chelsea
19:30,Luton,Burnley,1,2,A,0,1,A,P Bankes,1,3,-2,Burnley
12:30,Luton,Tottenham,0,1,A,0,0,D,J Brooks,0,1,-1,Tottenham
15:00,Burnley,Chelsea,1,4,A,1,1,D,S Attwell,2,5,-3,Chelsea
15:00,Everton,Bournemouth,3,0,H,2,0,H,D Coote,5,0,5,Everton
15:00,Fulham,Sheffield United,3,1,H,0,0,D,S Barrott,3,1,2,Fulham
15:00,Man United,Brentford,2,1,H,0,1,A,A Madley,2,2,0,draw
17:30,Crystal Palace,Nott'm Forest,0,0,D,0,0,D,C Pawson,0,0,0,draw
14:00,Brighton,Liverpool,2,2,D,1,2,A,A Taylor,3,4,-1,Liverpool
14:00,West Ham,Newcastle,2,2,D,1,0,H,P Bankes,3,2,1,West Ham
14:00,Wolves,Aston Villa,1,1,D,0,0,D,R Jones,1,1,0,draw
16:30,Arsenal,Man City,1,0,H,0,0,D,M Oliver,1,0,1,Arsenal
12:30,Liverpool,Everton,2,0,H,0,0,D,C Pawson,2,0,2,Liverpool
15:00,Bournemouth,Wolves,1,2,A,1,0,H,P Tierney,2,2,0,draw
15:00,Brentford,Burnley,3,0,H,1,0,H,J Smith,4,0,4,Brentford
15:00,Man City,Brighton,2,1,H,2,0,H,R Jones,4,1,3,Man City
15:00,Newcastle,Crystal Palace,4,0,H,3,0,H,T Robinson,7,0,7,Newcastle
15:00,Nott'm Forest,Luton,2,2,D,0,0,D,S Barrott,2,2,0,draw
17:30,Chelsea,Arsenal,2,2,D,1,0,H,C Kavanagh,3,2,1,Chelsea
20:00,Sheffield United,Man United,1,2,A,1,1,D,M Oliver,2,3,-1,Man United
16:30,Aston Villa,West Ham,4,1,H,1,0,H,D Coote,5,1,4,Aston Villa
20:00,Tottenham,Fulham,2,0,H,1,0,H,A Taylor,3,0,3,Tottenham
20:00,Crystal Palace,Tottenham,1,2,A,0,0,D,A Madley,1,2,-1,Tottenham
12:30,Chelsea,Brentford,0,2,A,0,0,D,S Hooper,0,2,-2,Brentford
15:00,Arsenal,Sheffield United,5,0,H,1,0,H,T Robinson,6,0,6,Arsenal
15:00,Bournemouth,Burnley,2,1,H,1,1,D,S Barrott,3,2,1,Bournemouth
17:30,Wolves,Newcastle,2,2,D,1,2,A,A Taylor,3,4,-1,Newcastle
13:00,West Ham,Everton,0,1,A,0,0,D,S Attwell,0,1,-1,Everton
14:00,Aston Villa,Luton,3,1,H,1,0,H,J Brooks,4,1,3,Aston Villa
14:00,Brighton,Fulham,1,1,D,1,0,H,M Salisbury,2,1,1,Brighton
14:00,Liverpool,Nott'm Forest,3,0,H,2,0,H,C Salisbury,5,0,5,Liverpool
15:30,Man United,Man City,0,3,A,0,1,A,P Tierney,0,4,-4,Man City
12:30,Fulham,Man United,0,1,A,0,0,D,J Brooks,0,1,-1,Man United
15:00,Brentford,West Ham,3,2,H,1,2,A,T Bramall,4,4,0,draw
15:00,Burnley,Crystal Palace,0,2,A,0,1,A,P Bankes,0,3,-3,Crystal Palace
15:00,Everton,Brighton,1,1,D,1,0,H,T Robinson,2,1,1,Everton
15:00,Man City,Bournemouth,6,1,H,3,0,H,C Pawson,9,1,8,Man City
15:00,Sheffield United,Wolves,2,1,H,0,0,D,R Jones,2,1,1,Sheffield United
17:30,Newcastle,Arsenal,1,0,H,0,0,D,S Attwell,1,0,1,Newcastle
14:00,Nott'm Forest,Aston Villa,2,0,H,1,0,H,J Gillett,3,0,3,Nott'm Forest
16:30,Luton,Liverpool,1,1,D,0,0,D,A Madley,1,1,0,draw
20:00,Tottenham,Chelsea,1,4,A,1,1,D,M Oliver,2,5,-3,Chelsea
12:30,Wolves,Tottenham,2,1,H,0,1,A,T Robinson,2,2,0,draw
15:00,Arsenal,Burnley,3,1,H,1,0,H,M Oliver,4,1,3,Arsenal
15:00,Crystal Palace,Everton,2,3,A,1,1,D,S Barrott,3,4,-1,Everton
15:00,Man United,Luton,1,0,H,0,0,D,G Scott,1,0,1,Man United
17:30,Bournemouth,Newcastle,2,0,H,0,0,D,C Kavanagh,2,0,2,Bournemouth
14:00,Aston Villa,Fulham,3,1,H,2,0,H,S Hooper,5,1,4,Aston Villa
14:00,Brighton,Sheffield United,1,1,D,1,0,H,J Brooks,2,1,1,Brighton
14:00,Liverpool,Brentford,3,0,H,1,0,H,P Tierney,4,0,4,Liverpool
14:00,West Ham,Nott'm Forest,3,2,H,1,1,D,M Salisbury,4,3,1,West Ham
16:30,Chelsea,Man City,4,4,D,2,2,D,A Taylor,6,6,0,draw
12:30,Man City,Liverpool,1,1,D,1,0,H,C Kavanagh,2,1,1,Man City
15:00,Burnley,West Ham,1,2,A,0,0,D,S Barrott,1,2,-1,West Ham
15:00,Luton,Crystal Palace,2,1,H,0,0,D,J Gillett,2,1,1,Luton
15:00,Newcastle,Chelsea,4,1,H,1,1,D,S Hooper,5,2,3,Newcastle
15:00,Nott'm Forest,Brighton,2,3,A,1,2,A,A Taylor,3,5,-2,Brighton
15:00,Sheffield United,Bournemouth,1,3,A,0,2,A,A Madley,1,5,-4,Bournemouth
17:30,Brentford,Arsenal,0,1,A,0,0,D,T Robinson,0,1,-1,Arsenal
14:00,Tottenham,Aston Villa,1,2,A,1,1,D,R Jones,2,3,-1,Aston Villa
16:30,Everton,Man United,0,3,A,0,1,A,J Brooks,0,4,-4,Man United
20:00,Fulham,Wolves,3,2,H,1,1,D,M Salisbury,4,3,1,Fulham
15:00,Arsenal,Wolves,2,1,H,2,0,H,P Bankes,4,1,3,Arsenal
15:00,Brentford,Luton,3,1,H,0,0,D,A Taylor,3,1,2,Brentford
15:00,Burnley,Sheffield United,5,0,H,2,0,H,C Kavanagh,7,0,7,Burnley
17:30,Nott'm Forest,Everton,0,1,A,0,0,D,P Tierney,0,1,-1,Everton
20:00,Newcastle,Man United,1,0,H,0,0,D,R Jones,1,0,1,Newcastle
14:00,Bournemouth,Aston Villa,2,2,D,1,1,D,T Bramall,3,3,0,draw
14:00,Chelsea,Brighton,3,2,H,2,1,H,C Pawson,5,3,2,Chelsea
14:00,Liverpool,Fulham,4,3,H,2,2,D,S Attwell,6,5,1,Liverpool
14:00,West Ham,Crystal Palace,1,1,D,1,0,H,M Oliver,2,1,1,West Ham
16:30,Man City,Tottenham,3,3,D,2,1,H,S Hooper,5,4,1,Man City
19:30,Wolves,Burnley,1,0,H,1,0,H,J Gillett,2,0,2,Wolves
20:15,Luton,Arsenal,3,4,A,1,2,A,S Barrott,4,6,-2,Arsenal
19:30,Brighton,Brentford,2,1,H,1,1,D,P Bankes,3,2,1,Brighton
19:30,Crystal Palace,Bournemouth,0,2,A,0,1,A,C Pawson,0,3,-3,Bournemouth
19:30,Fulham,Nott'm Forest,5,0,H,2,0,H,J Smith,7,0,7,Fulham
19:30,Sheffield United,Liverpool,0,2,A,0,1,A,S Hooper,0,3,-3,Liverpool
20:15,Aston Villa,Man City,1,0,H,0,0,D,J Brooks,1,0,1,Aston Villa
20:15,Man United,Chelsea,2,1,H,1,1,D,C Kavanagh,3,2,1,Man United
19:30,Everton,Newcastle,3,0,H,0,0,D,T Robinson,3,0,3,Everton
20:15,Tottenham,West Ham,1,2,A,1,0,H,M Salisbury,2,2,0,draw
12:30,Crystal Palace,Liverpool,1,2,A,0,0,D,A Madley,1,2,-1,Liverpool
15:00,Brighton,Burnley,1,1,D,0,1,A,S Hooper,1,2,-1,Burnley
15:00,Man United,Bournemouth,0,3,A,0,1,A,P Bankes,0,4,-4,Bournemouth
15:00,Sheffield United,Brentford,1,0,H,1,0,H,S Attwell,2,0,2,Sheffield United
15:00,Wolves,Nott'm Forest,1,1,D,1,1,D,S Barrott,2,2,0,draw
17:30,Aston Villa,Arsenal,1,0,H,1,0,H,J Gillett,2,0,2,Aston Villa
14:00,Everton,Chelsea,2,0,H,0,0,D,M Oliver,2,0,2,Everton
14:00,Fulham,West Ham,5,0,H,3,0,H,P Tierney,8,0,8,Fulham
14:00,Luton,Man City,1,2,A,1,0,H,T Robinson,2,2,0,draw
16:30,Tottenham,Newcastle,4,1,H,2,0,H,C Kavanagh,6,1,5,Tottenham
